part,parameter,value,runtime_s,prior_draws,strategy,q_x,q_y,psi_d_m,u_proxy_m,u_bar_m,movement_m,in_c_rec_certified
B,direction_bins,180,,600000,pure_bayesian,7.34788079488412e-15,-480.0,52.39623887788256,84.45151812187287,1501.4290277449795,1020.0,False
B,direction_bins,180,,600000,pure_minimax,120.0,-600.0,57.46934671440507,58.324218981147126,1501.4290277449795,1183.3849753989612,False
B,direction_bins,180,,600000,hybrid,28.284271247461902,-571.7157287525381,54.417661182630575,63.11952053179037,1501.4290277449795,1090.2158331030041,False
B,direction_bins,360,,600000,pure_bayesian,7.34788079488412e-15,-480.0,43.451026261025675,84.45151812187287,1501.4290277449795,1020.0,False
B,direction_bins,360,,600000,pure_minimax,120.0,-600.0,44.93619767338576,60.51754112285326,1501.4290277449795,1183.3849753989612,False
B,direction_bins,360,,600000,hybrid,120.0,-600.0,44.93619767338576,60.51754112285326,1501.4290277449795,1183.3849753989612,False
C,coarse_spacing_m,300.0,,600000,pure_bayesian,7.34788079488412e-15,-480.0,43.451026261025675,84.45151812187287,1501.4290277449795,1020.0,False
C,coarse_spacing_m,300.0,,600000,pure_minimax,120.0,-600.0,44.93619767338576,60.51754112285326,1501.4290277449795,1183.3849753989612,False
C,coarse_spacing_m,300.0,,600000,hybrid,120.0,-600.0,44.93619767338576,60.51754112285326,1501.4290277449795,1183.3849753989612,False
C,coarse_spacing_m,200.0,,600000,pure_bayesian,7.34788079488412e-15,-480.0,43.451026261025675,84.45151812187287,1501.4290277449795,1020.0,False
C,coarse_spacing_m,200.0,,600000,pure_minimax,120.0,-600.0,44.93619767338576,60.51754112285326,1501.4290277449795,1183.3849753989612,False
C,coarse_spacing_m,200.0,,600000,hybrid,120.0,-600.0,44.93619767338576,60.51754112285326,1501.4290277449795,1183.3849753989612,False
