策略及组别,源数,case_count,success_count,mean_total_time_s,mean_per_source_s,std_per_source_s,p90_per_source_s,worst_per_source_s,mean_program_runtime_s,clearance_ratio,mean_observed_total_time_s,mean_observed_per_source_s
实验组_当前策略_集中测量与联合路线,10,20,20,3099.107389214974,309.9107389214974,17.68891745383861,329.1493467246473,347.39537250242387,0.3550995100004002,1.0,3099.107389214974,309.9107389214974
实验组_当前策略_集中测量与联合路线,12,20,20,3203.308351782988,266.94236264858233,14.077862319422191,285.86842993118796,294.32011170200025,0.39680253499991525,1.0,3203.308351782988,266.94236264858233
实验组_当前策略_集中测量与联合路线,14,20,20,3343.6871439740066,238.8347959981433,21.172676236082655,264.2011651795714,278.68290731108056,0.5176266799995574,1.0,3343.6871439740066,238.8347959981433
实验组_当前策略_集中测量与联合路线,16,20,20,3410.6354831614813,213.16471769759258,14.59438197759619,230.58867431555655,251.26546482001083,0.5137959050001882,1.0,3410.6354831614813,213.16471769759258
对照组_普查后清除,10,20,20,3850.632929241423,385.0632929241423,22.50037664500426,414.38098213333444,416.3691685980968,0.10501515000069048,1.0,3850.632929241423,385.0632929241423
对照组_普查后清除,12,20,20,4199.74018981693,349.97834915141084,13.501104744854178,366.11090509138165,377.86060922776556,0.12616655499950866,1.0,4199.74018981693,349.97834915141084
对照组_普查后清除,14,20,20,4318.742655399647,308.4816182428319,18.112433009644665,327.37921722714333,341.92619714860587,0.1547262200003388,1.0,4318.742655399647,308.4816182428319
对照组_普查后清除,16,20,20,4436.858169920653,277.30363562004084,11.490832238602088,289.57274410347986,298.2912807480327,0.15897711500001604,1.0,4436.858169920653,277.30363562004084
对照组_螺旋扫描,10,20,20,6073.8042058067695,607.380420580677,20.872153704591742,633.9975794079385,647.9590884600145,0.1821699099997204,1.0,6073.8042058067695,607.380420580677
对照组_螺旋扫描,12,20,20,6466.362880428356,538.8635733690297,21.6322319090686,562.4120693406784,579.9476101895797,0.21405530000029102,1.0,6466.362880428356,538.8635733690297
对照组_螺旋扫描,14,20,20,6617.465474100258,472.67610529287555,17.34329936974709,502.4465048515123,508.9321333660137,0.2681819199993697,1.0,6617.465474100258,472.67610529287555
对照组_螺旋扫描,16,20,20,5439.370657590297,339.96066609939356,29.256095114367163,371.8768598743648,416.11826510475146,0.25396644000029484,1.0,5439.370657590297,339.96066609939356
对照组_随机游走,10,20,9,17627.09022123926,1762.709022123926,269.617701658758,2186.109006537555,2186.109006537555,0.27073697000050745,0.995,21029.255703454255,2102.9255703454255
对照组_随机游走,12,20,11,17795.28929920213,1482.940774933511,296.3720057344507,1722.3447833594557,1887.5325191574286,0.3086483250001038,0.9958333333333333,20229.479887870377,1685.7899906558648
对照组_随机游走,14,20,13,16844.598686634326,1203.1856204738806,277.92751096336036,1547.4254738450059,1583.0887303171673,0.3274866500001735,1.0,18716.808772315213,1336.9149123082295
对照组_随机游走,16,20,20,11220.108278384312,701.2567673990195,254.94118405187268,993.9094630215584,1233.87877792393,0.29377034499975707,1.0,11220.108278384312,701.2567673990195
对照组_上帝视角,10,20,20,1574.555569513623,157.4555569513623,22.605231311966477,181.706723352815,188.7202332094695,0.0009374500001285924,1.0,1574.555569513623,157.4555569513623
对照组_上帝视角,12,20,20,1867.6051037528084,155.63375864606738,10.562961026369527,168.34059864062525,171.46539546964365,0.0012275800001589233,1.0,1867.6051037528084,155.63375864606738
对照组_上帝视角,14,20,20,1949.6745205252782,139.2624657518056,14.188853738247946,152.08026070645525,162.29705002394738,0.0017992300005062133,1.0,1949.6745205252782,139.2624657518056
对照组_上帝视角,16,20,20,2025.6992825955006,126.60620516221879,9.568456725865584,137.6174326821336,141.45760353397762,0.002477139999791689,1.0,2025.6992825955006,126.60620516221879
对照组_旧PPO辅助规划,10,20,20,6750.055545830784,675.0055545830784,22.215550137125806,701.3282681718404,708.0748555782145,0.8151576649999697,1.0,6750.055545830784,675.0055545830784
对照组_旧PPO辅助规划,12,20,20,7386.691258264038,615.5576048553364,27.755012237971734,641.9719703202524,667.1626124079702,0.8214942950000477,1.0,7386.691258264038,615.5576048553364
对照组_旧PPO辅助规划,14,20,20,8151.813339715807,582.2723814082719,28.884758434815474,617.5033924190986,628.2931334807527,1.0092143749996467,1.0,8151.813339715807,582.2723814082719
对照组_旧PPO辅助规划,16,20,20,8952.47984692386,559.5299904327412,27.13268944281151,594.0084988887832,601.7512065605833,0.9851752700000361,1.0,8952.47984692386,559.5299904327412
