seed,source_count,cleared_count,source_sha256,actual_all_cleared,clearance_ratio,raw_time_per_source_s,privileged_truth,all_cleared,audit_passed,total_time_s,per_source_s,program_runtime_s,full_scan_count,failure,termination_reason,movement_s,measurement_s,switching_s,clearance_s
280000000,10,10,7203618c4bedd7f61d0b106d845b876111d1dd6a420b6cf68433ee63c4bd76bb,True,1.0,2381.343334959094,False,False,True,23813.43334959094,2381.343334959094,0.9291826000001038,129,fixed scan schedule exhausted without complete evidence,scan_limit,15571.433349590941,6940.0,1252.0,50.0
280000001,10,9,b64f80600bbd40169d878832ce2a4879ab94c671a136f23ef2895d4a1a116271,False,0.9,2441.9990165298636,False,False,True,24419.990165298637,2713.3322405887375,0.9639369999999872,129,fixed scan schedule exhausted without complete evidence,scan_limit,15697.990165298637,7345.0,1329.0,48.0
280000002,10,10,1424ffbfd8a9285b62bbfa5865a98d147cc7600e2523b6e2bbc5f6b5cfef0ebe,True,1.0,2362.9464333087444,False,False,True,23629.464333087442,2362.9464333087444,0.8810659000000669,129,fixed scan schedule exhausted without complete evidence,scan_limit,15310.464333087442,7000.0,1269.0,50.0
280000003,10,10,3183e4bde15c9679a77dc4ffe4938b16c0b11a1b5f30d3febe0a8cee3086a723,True,1.0,2442.881928370997,False,False,True,24428.819283709967,2442.881928370997,0.8742676999997911,129,fixed scan schedule exhausted without complete evidence,scan_limit,16019.819283709965,7075.0,1284.0,50.0
280000004,10,10,aca09cc8f25bf24769c8a8e98939d2cb0f20f89dbb7b83592fb51d4ca66704a6,True,1.0,2348.9851660436057,False,False,True,23489.851660436056,2348.9851660436057,0.7328202999999576,129,fixed scan schedule exhausted without complete evidence,scan_limit,15282.851660436058,6905.0,1249.0,53.0
280000005,10,10,42ea049001977ccdbac5b56e227b2a12b8166120ddf6f13ab1ea89a7080d60dc,True,1.0,2330.005984440574,False,False,True,23300.05984440574,2330.005984440574,0.810732200000075,129,fixed scan schedule exhausted without complete evidence,scan_limit,15175.059844405741,6840.0,1235.0,50.0
280000006,10,10,3f7a244cccafbfed3b8fa7ee544456c70f426662e4b332d7073b053dd486adcc,True,1.0,2517.0967585217477,False,False,True,25170.967585217477,2517.0967585217477,1.0309248999999454,129,fixed scan schedule exhausted without complete evidence,scan_limit,14745.967585217477,8750.0,1619.0,56.0
280000007,10,10,2345fb9a681cf2efd5e698ddfd69f8917de8d6c8fe6c4bef1f34a95832b7f68e,True,1.0,2375.997734385413,False,False,True,23759.97734385413,2375.997734385413,0.9818387999998777,129,fixed scan schedule exhausted without complete evidence,scan_limit,15297.97734385413,7120.0,1286.0,56.0
280000008,10,10,38e2aff33f98cff2818d457499b1148615b3c784d77967fd1099d35247bd9dd5,True,1.0,2364.9467315005377,False,False,True,23649.467315005375,2364.9467315005377,0.7378183999999237,129,fixed scan schedule exhausted without complete evidence,scan_limit,15407.467315005373,6935.0,1257.0,50.0
280000009,10,10,a525cb8562199cada4ae98226cbb0c3da6643113a56d0d90b9574a2b79413508,True,1.0,2351.9383666113895,False,False,True,23519.383666113896,2351.9383666113895,0.7858173000001898,129,fixed scan schedule exhausted without complete evidence,scan_limit,15016.383666113896,7155.0,1298.0,50.0
280000010,10,9,f43da4ed2e77e51f5f9a5f8eaff50a4a854b4643a5a94f3db488528fe2bd91e3,False,0.9,2459.510924549773,False,False,True,24595.10924549773,2732.7899161664145,0.9926878999999644,129,fixed scan schedule exhausted without complete evidence,scan_limit,15595.10924549773,7575.0,1377.0,48.0
280000011,10,9,ef6870e012552df004b32f207f234ffe79ba351f24df1fda8090a9b0e8ce675b,False,0.9,2397.829921073486,False,False,True,23978.29921073486,2664.255467859429,0.6634013000000323,129,fixed scan schedule exhausted without complete evidence,scan_limit,15101.299210734858,7470.0,1362.0,45.0
280000012,10,10,da2050e3dd2e132dcaea89d80816d6978d757ab69d56f71e56b1ebdf9355f1f1,True,1.0,2414.7665541609035,False,False,True,24147.665541609036,2414.7665541609035,0.7741665999999441,129,fixed scan schedule exhausted without complete evidence,scan_limit,16172.665541609036,6715.0,1210.0,50.0
280000013,10,10,b53e04ded4c66f43849e4a99c182daa51e2b21ffcd2979bba3514cb72a2ba0f4,True,1.0,2424.943908100314,False,False,True,24249.43908100314,2424.943908100314,0.8530630000000201,129,fixed scan schedule exhausted without complete evidence,scan_limit,15439.43908100314,7410.0,1350.0,50.0
280000014,10,10,b07932fcdf29a8cebf921a60f3883840fa9716299406b18520a5039af2bf1bd2,True,1.0,2430.670210319863,False,False,True,24306.702103198633,2430.670210319863,0.8024628000000575,129,fixed scan schedule exhausted without complete evidence,scan_limit,15972.702103198637,7015.0,1269.0,50.0
280000015,10,10,ac360a6d57101a35b8821d88d493e04207801116801ed480ffabaaf0503d213a,True,1.0,2385.287862210962,False,False,True,23852.87862210962,2385.287862210962,1.0814890999999989,129,fixed scan schedule exhausted without complete evidence,scan_limit,15140.878622109618,7330.0,1323.0,59.0
280000016,10,10,7a8e5b2deea413bc980838c4c18e232b50c6b8050b903fdac946d04159da3f07,True,1.0,2485.2730674924483,False,False,True,24852.73067492448,2485.2730674924483,0.8658343999998124,129,fixed scan schedule exhausted without complete evidence,scan_limit,15508.730674924482,7855.0,1436.0,53.0
280000017,10,9,4f08f05e7d2b8467b68c31e7d9d7879a70985f7b7aee06389925dad4a640d844,False,0.9,2464.7792056798357,False,False,True,24647.792056798356,2738.643561866484,0.7318638000001556,129,fixed scan schedule exhausted without complete evidence,scan_limit,15438.792056798353,7745.0,1419.0,45.0
280000018,10,10,7235d9336ae24c78228d471ee7a1332f6d44e86a6acf0a16c389ac42ee25d1f2,True,1.0,2412.7006571701318,False,False,True,24127.006571701317,2412.7006571701318,0.9646867999999813,129,fixed scan schedule exhausted without complete evidence,scan_limit,15140.006571701317,7560.0,1377.0,50.0
280000019,10,10,d0c0eb47c00f5e0636b2c682db653227ecf144eeeb0bfa1447f8682319695302,True,1.0,2517.665851266065,False,False,True,25176.65851266065,2517.665851266065,0.8325675999999476,129,fixed scan schedule exhausted without complete evidence,scan_limit,15769.658512660646,7905.0,1452.0,50.0
280001000,12,12,398cf089f6421146ebea13af1ea5a36b28e3aff73979d0cd57a8078529ba2601,True,1.0,1957.337286782542,False,False,True,23488.047441390503,1957.337286782542,1.024763699999994,129,fixed scan schedule exhausted without complete evidence,scan_limit,16656.047441390503,5760.0,1012.0,60.0
280001001,12,12,e0ff078e969555ff0799c1d2f59aa8ca47864f49f4a49379c3105ed52372ae4f,True,1.0,2023.3510995277659,False,False,True,24280.21319433319,2023.3510995277659,0.8649193999999625,129,fixed scan schedule exhausted without complete evidence,scan_limit,16339.213194333191,6670.0,1208.0,63.0
280001002,12,11,3b07dd5c517822876cd37aef88127c0db7307edefc35e74dffeba4cf78b3f4a3,False,0.9166666666666666,1941.6479859965123,False,False,True,23299.775831958148,2118.1614392689225,0.9534297000000151,129,fixed scan schedule exhausted without complete evidence,scan_limit,15551.77583195815,6520.0,1170.0,58.0
280001003,12,12,9ceea8a8e501da1f6beeee4a861c03e1b3944cb10198287de7e034b486c78428,True,1.0,1913.246087949218,False,False,True,22958.953055390615,1913.246087949218,0.8460199000001012,129,fixed scan schedule exhausted without complete evidence,scan_limit,16264.953055390613,5635.0,999.0,60.0
280001004,12,12,3fdd42b2fefea21bc49b8e56ae2b4e72d9fa59e6ed402508c52a0ee1612d7a77,True,1.0,2020.3295942954576,False,False,True,24243.955131545492,2020.3295942954576,1.106832200000099,129,fixed scan schedule exhausted without complete evidence,scan_limit,16086.955131545494,6855.0,1242.0,60.0
280001005,12,11,74e501bbef9843805872fd3310ac534c36eb6641098a8e37297b25680ada0fbd,False,0.9166666666666666,1962.0685516204842,False,False,True,23544.82261944581,2140.4384199496194,1.0907867999999326,129,fixed scan schedule exhausted without complete evidence,scan_limit,15656.822619445811,6640.0,1193.0,55.0
280001006,12,12,4a1f4a8248e99bac5f9f6af57ac3fbe39488148980f28afd1c20c15ec32b7aa6,True,1.0,1970.9003334280749,False,False,True,23650.804001136898,1970.9003334280749,1.078879299999926,129,fixed scan schedule exhausted without complete evidence,scan_limit,16428.804001136898,6085.0,1077.0,60.0
280001007,12,11,a3c2fed35cab26e3cce1bf1ed046b256a1d92795ae67956b2292ce6c84115aad,False,0.9166666666666666,2091.9099101676243,False,False,True,25102.918922011493,2282.0835383646813,1.0269740999999613,129,fixed scan schedule exhausted without complete evidence,scan_limit,16398.918922011493,7320.0,1329.0,55.0
280001008,12,12,71655caf6a4c09747b79fb399ac2fb9138b842695f31666fbf0118a108af0830,True,1.0,1906.5131231629748,False,False,True,22878.157477955698,1906.5131231629748,0.9638150999999198,129,fixed scan schedule exhausted without complete evidence,scan_limit,15302.157477955696,6370.0,1140.0,66.0
280001009,12,12,f4533632f287b0709716f14237a42ab02436f03a5f0f38ce2d263cea5712380b,True,1.0,1958.3009212023053,False,False,True,23499.611054427663,1958.3009212023053,1.2599632999999812,129,fixed scan schedule exhausted without complete evidence,scan_limit,15890.611054427663,6410.0,1139.0,60.0
280001010,12,11,02ec90daa1790bb63848b881c08c47a06b6c9d55a3248eae4e67c86716dc6b21,False,0.9166666666666666,1961.328796799853,False,False,True,23535.945561598237,2139.631414690749,0.7819858999998814,129,fixed scan schedule exhausted without complete evidence,scan_limit,15636.945561598237,6645.0,1199.0,55.0
280001011,12,12,91c45c37b3d0a38b3c903e4d8e538ca0e78102d8feee85572ed4e8c3d7a779b7,True,1.0,1880.1687037257634,False,False,True,22562.02444470916,1880.1687037257634,0.7796243000000231,129,fixed scan schedule exhausted without complete evidence,scan_limit,15428.024444709168,6000.0,1068.0,66.0
280001012,12,11,5ef134fc6eb8ac8722948cc9241c388b351260d71cdf00fcd3673f8587a215f7,False,0.9166666666666666,2054.974250602311,False,False,True,24659.69100722773,2241.7900915661576,0.939746600000035,129,fixed scan schedule exhausted without complete evidence,scan_limit,16118.691007227733,7185.0,1301.0,55.0
280001013,12,11,5295eac2225f9ee62ecadbf398d432b47d57feccd19b8be46421c4159cf30254,False,0.9166666666666666,1841.057358599967,False,False,True,22092.688303199604,2008.4262093817822,0.6609690999998747,129,fixed scan schedule exhausted without complete evidence,scan_limit,14689.688303199608,6225.0,1117.0,61.0
280001014,12,12,f5f849a45602a19a6160f4543c9bc3c808e1434a8143dff76d473ee89f6143ee,True,1.0,1993.020260544338,False,False,True,23916.243126532056,1993.020260544338,1.06364120000012,129,fixed scan schedule exhausted without complete evidence,scan_limit,15716.243126532054,6890.0,1244.0,66.0
280001015,12,12,d93992c06705b22f59b3ec4621d8873853cf815f701e8f934d8426f574d1de04,True,1.0,1935.0480840212247,False,False,True,23220.577008254695,1935.0480840212247,0.8347932000001492,129,fixed scan schedule exhausted without complete evidence,scan_limit,16145.577008254697,5955.0,1060.0,60.0
280001016,12,12,9cd47a9987f75ac3e384f0df529e17050734aa0949314551e93178162b0159cd,True,1.0,1987.1585913137242,False,False,True,23845.90309576469,1987.1585913137242,0.9074423000001843,129,fixed scan schedule exhausted without complete evidence,scan_limit,16276.90309576469,6370.0,1139.0,60.0
280001017,12,12,0d050fad84f0b420af44ad2735785800e0c91ea18bb0ae78d908d2ef4a816cf2,True,1.0,1933.2006580603859,False,False,True,23198.40789672463,1933.2006580603859,0.817933499999981,129,fixed scan schedule exhausted without complete evidence,scan_limit,15937.407896724631,6110.0,1091.0,60.0
280001018,12,11,27b9b514eb49c5d43acb0019e2d284c9f9eeba1f6985ebfb515d75d3b570d0fc,False,0.9166666666666666,1975.998723690668,False,False,True,23711.984684288014,2155.6349712989104,0.9906917000000703,129,fixed scan schedule exhausted without complete evidence,scan_limit,15470.984684288018,6935.0,1251.0,55.0
280001019,12,12,7009fcc80b8f784dbcf614f7fda98c26a44acd2a4f99a95572dace809a7289ad,True,1.0,1978.692106370032,False,False,True,23744.305276440384,1978.692106370032,1.0341550999999072,129,fixed scan schedule exhausted without complete evidence,scan_limit,16421.30527644038,6165.0,1098.0,60.0
280002000,14,14,b09dd81cf2d8a111ef172b6b9df87e078757600bb294806a51ea0724e5e9afe3,True,1.0,1679.2154465147469,False,False,True,23509.016251206456,1679.2154465147469,0.9972067999999581,129,fixed scan schedule exhausted without complete evidence,scan_limit,16990.01625120645,5485.0,964.0,70.0
280002001,14,14,33ce95f0e8fc8828842b177f21590e96955418880646b15d91f6b35bcbf5948f,True,1.0,1574.3617498061362,False,False,True,22041.064497285908,1574.3617498061362,0.9087167999998655,129,fixed scan schedule exhausted without complete evidence,scan_limit,16426.064497285908,4730.0,809.0,76.0
280002002,14,13,83c52ba33f7375aa5ad178b65fbd223ff13a3a3ed3bfcf839045db21f11bc780,False,0.9285714285714286,1542.9908804197605,False,False,True,21601.872325876648,1661.682486605896,0.8215161000000535,129,fixed scan schedule exhausted without complete evidence,scan_limit,15010.872325876648,5550.0,973.0,68.0
280002003,14,14,d38f6752bd78af99155894380e7bb3b6557f4ae6da2762610a92d97740f4b5b4,True,1.0,1522.2215704371065,False,False,True,21311.10198611949,1522.2215704371065,0.8667201000000659,129,fixed scan schedule exhausted without complete evidence,scan_limit,15575.101986119495,4825.0,835.0,76.0
280002004,14,14,52c0f0b9fe6b9bd24db63f60aabb9d31bb3a9d16279da851309d3b0d252adb10,True,1.0,1535.8952315799872,False,False,True,21502.53324211982,1535.8952315799872,1.0840650999998616,129,fixed scan schedule exhausted without complete evidence,scan_limit,15825.533242119827,4785.0,819.0,73.0
280002005,14,14,24a6e2fbac38c3de089510d647fa76a3a45c9c9ee78aa8cbe2e08bd0f3054103,True,1.0,1587.855998071629,False,False,True,22229.983973002807,1587.855998071629,0.9117059999998673,129,fixed scan schedule exhausted without complete evidence,scan_limit,16511.98397300281,4815.0,833.0,70.0
