seed,source_count,cleared_count,source_sha256,actual_all_cleared,clearance_ratio,raw_time_per_source_s,privileged_truth,all_cleared,audit_passed,total_time_s,per_source_s,program_runtime_s,full_scan_count,failure,termination_reason,movement_s,measurement_s,switching_s,clearance_s
280000000,10,10,7203618c4bedd7f61d0b106d845b876111d1dd6a420b6cf68433ee63c4bd76bb,True,1.0,1516.2374070276926,False,True,True,15162.374070276926,1516.2374070276926,1.7591904999999315,65,,all_cleared,10828.374070276937,3630.0,654.0,50.0
280000001,10,10,b64f80600bbd40169d878832ce2a4879ab94c671a136f23ef2895d4a1a116271,True,1.0,1543.4746842787888,False,True,True,15434.746842787888,1543.4746842787888,1.2335593000000245,65,,all_cleared,11073.746842787894,3650.0,658.0,53.0
280000002,10,10,1424ffbfd8a9285b62bbfa5865a98d147cc7600e2523b6e2bbc5f6b5cfef0ebe,True,1.0,1470.8118363103142,False,True,True,14708.118363103142,1470.8118363103142,0.9412545000000136,65,,all_cleared,10238.118363103154,3740.0,680.0,50.0
280000003,10,10,3183e4bde15c9679a77dc4ffe4938b16c0b11a1b5f30d3febe0a8cee3086a723,True,1.0,1528.0479513196296,False,True,True,15280.479513196296,1528.0479513196296,1.2667917000001125,65,,all_cleared,10995.479513196307,3585.0,650.0,50.0
280000004,10,10,aca09cc8f25bf24769c8a8e98939d2cb0f20f89dbb7b83592fb51d4ca66704a6,True,1.0,1461.2338454862402,False,True,True,14612.338454862402,1461.2338454862402,1.3838834000000588,65,,all_cleared,10319.338454862413,3590.0,650.0,53.0
280000005,10,10,42ea049001977ccdbac5b56e227b2a12b8166120ddf6f13ab1ea89a7080d60dc,True,1.0,1474.9853780997178,False,True,True,14749.853780997177,1474.9853780997178,0.9834802000000309,65,,all_cleared,10388.853780997186,3650.0,661.0,50.0
280000006,10,10,3f7a244cccafbfed3b8fa7ee544456c70f426662e4b332d7073b053dd486adcc,True,1.0,1473.1225816540277,False,True,True,14731.225816540276,1473.1225816540277,1.0438078000001951,65,,all_cleared,10307.225816540285,3700.0,671.0,53.0
280000007,10,10,2345fb9a681cf2efd5e698ddfd69f8917de8d6c8fe6c4bef1f34a95832b7f68e,True,1.0,1545.5280353588687,False,True,True,15455.280353588687,1545.5280353588687,1.1289116000000377,65,,all_cleared,10923.2803535887,3790.0,686.0,56.0
280000008,10,10,38e2aff33f98cff2818d457499b1148615b3c784d77967fd1099d35247bd9dd5,True,1.0,1475.0407860034088,False,True,True,14750.407860034087,1475.0407860034088,0.7336672000001272,65,,all_cleared,10402.407860034098,3640.0,658.0,50.0
280000009,10,10,a525cb8562199cada4ae98226cbb0c3da6643113a56d0d90b9574a2b79413508,True,1.0,1464.4545484702398,False,True,True,14644.545484702398,1464.4545484702398,1.4266066000000137,65,,all_cleared,10383.545484702407,3570.0,641.0,50.0
280000010,10,10,f43da4ed2e77e51f5f9a5f8eaff50a4a854b4643a5a94f3db488528fe2bd91e3,True,1.0,1518.836176469335,False,True,True,15188.361764693349,1518.836176469335,1.3277815999999802,65,,all_cleared,10625.36176469336,3810.0,697.0,56.0
280000011,10,10,ef6870e012552df004b32f207f234ffe79ba351f24df1fda8090a9b0e8ce675b,True,1.0,1428.5568340662512,False,True,True,14285.568340662512,1428.5568340662512,0.8074561999999332,65,,all_cleared,9952.568340662521,3625.0,658.0,50.0
280000012,10,10,da2050e3dd2e132dcaea89d80816d6978d757ab69d56f71e56b1ebdf9355f1f1,True,1.0,1515.3185620480572,False,True,True,15153.185620480572,1515.3185620480572,1.2478927999998177,65,,all_cleared,10851.185620480583,3600.0,649.0,53.0
280000013,10,10,b53e04ded4c66f43849e4a99c182daa51e2b21ffcd2979bba3514cb72a2ba0f4,True,1.0,1474.6521323629652,False,True,True,14746.521323629651,1474.6521323629652,1.1313940999998522,65,,all_cleared,10516.521323629664,3540.0,640.0,50.0
280000014,10,10,b07932fcdf29a8cebf921a60f3883840fa9716299406b18520a5039af2bf1bd2,True,1.0,1496.8762558535823,False,True,True,14968.762558535822,1496.8762558535823,0.8223630999998477,65,,all_cleared,10617.762558535833,3640.0,661.0,50.0
280000015,10,10,ac360a6d57101a35b8821d88d493e04207801116801ed480ffabaaf0503d213a,True,1.0,1502.4163980987562,False,True,True,15024.163980987561,1502.4163980987562,0.9763949000000594,65,,all_cleared,10597.163980987572,3700.0,668.0,59.0
280000016,10,10,7a8e5b2deea413bc980838c4c18e232b50c6b8050b903fdac946d04159da3f07,True,1.0,1480.1347457808956,False,True,True,14801.347457808955,1480.1347457808956,0.6953361999999288,65,,all_cleared,10420.347457808966,3665.0,666.0,50.0
