mode,strategy,source_count,seed,all_cleared,cleared_count,clearance_ratio,per_source_s,total_time_s,program_runtime_s,termination_reason,failure,exit_failure,movement_s,measurement_s,switching_s,clearance_s
previous,对照组_上一版联合路线,10,90260912,True,10,1.0,305.6582823796707,3056.582823796707,0.3866494000030798,all_cleared,,,2185.582823796708,695.0,126.0,50.0
route_pool,实验组_第二版路线候选池,10,90260912,True,10,1.0,300.23594767890347,3002.3594767890345,1.020866600003501,all_cleared,,,2257.359476789035,585.0,110.0,50.0
previous,对照组_上一版联合路线,10,90260913,True,10,1.0,335.1976743330814,3351.976743330814,0.33601939999789465,all_cleared,,,2450.9767433308143,720.0,131.0,50.0
route_pool,实验组_第二版路线候选池,10,90260913,True,10,1.0,322.826624350858,3228.2662435085804,0.9840515999967465,all_cleared,,,2383.266243508581,670.0,125.0,50.0
previous,对照组_上一版联合路线,10,90260914,True,10,1.0,322.29805683521823,3222.980568352182,0.27414600000338396,all_cleared,,,2241.9805683521813,785.0,146.0,50.0
route_pool,实验组_第二版路线候选池,10,90260914,True,10,1.0,321.7436040105719,3217.4360401057193,0.9555504000018118,all_cleared,,,2242.4360401057183,780.0,145.0,50.0
previous,对照组_上一版联合路线,10,90260915,True,10,1.0,342.2036924747349,3422.036924747349,0.34386860000086017,all_cleared,,,2560.036924747348,685.0,127.0,50.0
route_pool,实验组_第二版路线候选池,10,90260915,True,10,1.0,300.1157653168915,3001.1576531689147,1.1247316999942996,all_cleared,,,2257.1576531689147,585.0,109.0,50.0
previous,对照组_上一版联合路线,10,90260916,True,10,1.0,278.41060492515896,2784.1060492515894,0.2596373999986099,all_cleared,,,1921.1060492515887,685.0,128.0,50.0
route_pool,实验组_第二版路线候选池,10,90260916,True,10,1.0,282.88151922078066,2828.8151922078064,0.9001333999985945,all_cleared,,,2077.815192207807,590.0,111.0,50.0
previous,对照组_上一版联合路线,10,90260917,True,10,1.0,293.5552581690066,2935.552581690066,0.36458139999740524,all_cleared,,,2042.5525816900656,710.0,133.0,50.0
route_pool,实验组_第二版路线候选池,10,90260917,True,10,1.0,276.16739908002967,2761.673990800297,0.9418021000019507,all_cleared,,,2052.673990800297,555.0,104.0,50.0
previous,对照组_上一版联合路线,10,90260918,True,10,1.0,336.93608995224224,3369.3608995224226,0.44155949999549193,all_cleared,,,2365.360899522423,805.0,149.0,50.0
route_pool,实验组_第二版路线候选池,10,90260918,True,10,1.0,303.66510813886515,3036.6510813886516,1.1782373000023654,all_cleared,,,2251.6510813886516,620.0,115.0,50.0
previous,对照组_上一版联合路线,10,90260919,True,10,1.0,325.5738392286912,3255.738392286912,0.4161699000032968,all_cleared,,,2364.7383922869117,710.0,131.0,50.0
route_pool,实验组_第二版路线候选池,10,90260919,True,10,1.0,319.2682923365568,3192.6829233655676,1.2582431999981054,all_cleared,,,2447.682923365568,585.0,110.0,50.0
previous,对照组_上一版联合路线,10,90260920,True,10,1.0,270.84644288763985,2708.4644288763984,0.3775046000009752,all_cleared,,,1861.4644288763982,670.0,127.0,50.0
route_pool,实验组_第二版路线候选池,10,90260920,True,10,1.0,266.91996616123276,2669.199661612328,1.1794548999969265,all_cleared,,,1862.199661612327,635.0,122.0,50.0
previous,对照组_上一版联合路线,10,90260921,True,10,1.0,269.3255277605964,2693.2552776059642,0.32503830000496237,all_cleared,,,1833.2552776059645,680.0,130.0,50.0
route_pool,实验组_第二版路线候选池,10,90260921,True,10,1.0,271.48875791149226,2714.8875791149226,1.2175663000016357,all_cleared,,,1961.8875791149223,590.0,113.0,50.0
previous,对照组_上一版联合路线,10,90260922,True,10,1.0,298.51748705351514,2985.1748705351515,0.3558439999978873,all_cleared,,,2140.1748705351515,670.0,125.0,50.0
route_pool,实验组_第二版路线候选池,10,90260922,True,10,1.0,284.1675908797469,2841.675908797469,1.0948014999958104,all_cleared,,,2160.675908797469,530.0,101.0,50.0
previous,对照组_上一版联合路线,10,90260923,True,10,1.0,295.98930472708935,2959.8930472708935,0.31876629999896977,all_cleared,,,2056.8930472708926,720.0,133.0,50.0
route_pool,实验组_第二版路线候选池,10,90260923,True,10,1.0,307.55760515008114,3075.5760515008114,0.8308652999985497,all_cleared,,,2218.5760515008114,680.0,127.0,50.0
previous,对照组_上一版联合路线,10,90260924,True,10,1.0,333.5612455078339,3335.6124550783393,0.38292789999832166,all_cleared,,,2389.61245507834,755.0,141.0,50.0
route_pool,实验组_第二版路线候选池,10,90260924,True,10,1.0,326.2966357405261,3262.9663574052606,1.253411599995161,all_cleared,,,2299.96635740526,770.0,143.0,50.0
previous,对照组_上一版联合路线,10,90260925,True,10,1.0,311.54887631999856,3115.4887631999854,0.28343039999890607,all_cleared,,,2234.488763199986,700.0,131.0,50.0
route_pool,实验组_第二版路线候选池,10,90260925,True,10,1.0,309.6912760091489,3096.912760091489,0.9379071000003023,all_cleared,,,2336.9127600914885,600.0,110.0,50.0
previous,对照组_上一版联合路线,10,90260926,True,10,1.0,301.32606286372726,3013.2606286372725,0.34955880000052275,all_cleared,,,2170.260628637272,670.0,123.0,50.0
route_pool,实验组_第二版路线候选池,10,90260926,True,10,1.0,278.50161538460975,2785.0161538460975,1.0297041999947396,all_cleared,,,2047.0161538460977,580.0,108.0,50.0
previous,对照组_上一版联合路线,10,90260927,True,10,1.0,308.6356084221931,3086.3560842219313,0.47391540000535315,all_cleared,,,2165.3560842219313,735.0,136.0,50.0
route_pool,实验组_第二版路线候选池,10,90260927,True,10,1.0,314.73456958545546,3147.345695854555,1.652611400000751,all_cleared,,,2427.3456958545544,565.0,105.0,50.0
previous,对照组_上一版联合路线,10,90260928,True,10,1.0,307.8684567619497,3078.6845676194966,0.34616050000477117,all_cleared,,,2209.6845676194976,690.0,129.0,50.0
route_pool,实验组_第二版路线候选池,10,90260928,True,10,1.0,304.89804790613874,3048.9804790613875,1.0774590000000899,all_cleared,,,2262.9804790613885,620.0,116.0,50.0
previous,对照组_上一版联合路线,10,90260929,True,10,1.0,317.73983979019,3177.3983979019,0.29055030000017723,all_cleared,,,2259.3983979018994,730.0,138.0,50.0
route_pool,实验组_第二版路线候选池,10,90260929,True,10,1.0,312.26482491004646,3122.6482491004645,1.3718077000012272,all_cleared,,,2353.6482491004645,610.0,109.0,50.0
previous,对照组_上一版联合路线,10,90260930,True,10,1.0,306.9118159590449,3069.1181595904486,0.2969519999969634,all_cleared,,,2109.1181595904486,765.0,145.0,50.0
route_pool,实验组_第二版路线候选池,10,90260930,True,10,1.0,302.34390078834224,3023.4390078834226,1.141695799997251,all_cleared,,,2248.4390078834226,610.0,115.0,50.0
previous,对照组_上一版联合路线,10,90260931,True,10,1.0,337.8545617701826,3378.5456177018264,0.3379432000001543,all_cleared,,,2370.545617701826,805.0,153.0,50.0
route_pool,实验组_第二版路线候选池,10,90260931,True,10,1.0,324.7280900808957,3247.280900808957,1.0564240999956382,all_cleared,,,2349.2809008089566,715.0,133.0,50.0
previous,对照组_上一版联合路线,12,90261912,True,12,1.0,263.19024799617233,3158.2829759540678,0.43585129999701167,all_cleared,,,2301.282975954068,670.0,127.0,60.0
route_pool,实验组_第二版路线候选池,12,90261912,True,12,1.0,273.9077292420478,3286.892750904574,1.182283499998448,all_cleared,,,2477.892750904574,630.0,119.0,60.0
previous,对照组_上一版联合路线,12,90261913,True,12,1.0,265.52921388561026,3186.350566627323,0.4444809999986319,all_cleared,,,2369.3505666273236,640.0,117.0,60.0
route_pool,实验组_第二版路线候选池,12,90261913,True,12,1.0,260.4743746491562,3125.692495789874,1.4116540000031819,all_cleared,,,2320.692495789875,630.0,115.0,60.0
previous,对照组_上一版联合路线,12,90261914,True,12,1.0,237.40186126040274,2848.822335124833,0.4431659999972908,all_cleared,,,2088.822335124833,590.0,110.0,60.0
route_pool,实验组_第二版路线候选池,12,90261914,True,12,1.0,228.72440842409603,2744.692901089152,1.2694943000024068,all_cleared,,,2019.6929010891522,560.0,105.0,60.0
previous,对照组_上一版联合路线,12,90261915,True,12,1.0,260.1122085517032,3121.3465026204385,0.49637600000278326,all_cleared,,,2294.346502620439,650.0,117.0,60.0
route_pool,实验组_第二版路线候选池,12,90261915,True,12,1.0,259.4036905071403,3112.8442860856835,1.5823941999988165,all_cleared,,,2383.844286085684,565.0,104.0,60.0
previous,对照组_上一版联合路线,12,90261916,True,12,1.0,257.439746593452,3089.276959121424,0.4566029999987222,all_cleared,,,2272.2769591214246,640.0,117.0,60.0
route_pool,实验组_第二版路线候选池,12,90261916,True,12,1.0,247.74111642407635,2972.893397088916,1.211896799999522,all_cleared,,,2247.8933970889157,560.0,105.0,60.0
previous,对照组_上一版联合路线,12,90261917,True,12,1.0,251.35297124804518,3016.2356549765423,0.3385522000025958,all_cleared,,,2234.2356549765414,605.0,117.0,60.0
route_pool,实验组_第二版路线候选池,12,90261917,True,12,1.0,276.90460603372355,3322.8552724046826,1.3453021000023,all_cleared,,,2567.8552724046826,585.0,110.0,60.0
previous,对照组_上一版联合路线,12,90261918,True,12,1.0,270.25933092581283,3243.111971109754,0.3569126000002143,all_cleared,,,2333.1119711097535,715.0,135.0,60.0
route_pool,实验组_第二版路线候选池,12,90261918,True,12,1.0,267.2835449987897,3207.4025399854763,1.331034599999839,all_cleared,,,2332.402539985476,685.0,130.0,60.0
previous,对照组_上一版联合路线,12,90261919,True,12,1.0,276.18074671661543,3314.168960599385,0.39935200000036275,all_cleared,,,2456.168960599385,675.0,123.0,60.0
route_pool,实验组_第二版路线候选池,12,90261919,True,12,1.0,269.01402093696123,3228.168251243535,1.336209000000963,all_cleared,,,2407.168251243536,645.0,116.0,60.0
previous,对照组_上一版联合路线,12,90261920,True,12,1.0,290.9209007619175,3491.0508091430097,0.4178535000028205,all_cleared,,,2503.0508091430115,785.0,143.0,60.0
route_pool,实验组_第二版路线候选池,12,90261920,True,12,1.0,276.47437389131466,3317.6924866957756,1.1882133999970392,all_cleared,,,2478.692486695776,655.0,124.0,60.0
previous,对照组_上一版联合路线,12,90261921,True,12,1.0,249.90699683809078,2998.8839620570893,0.2854525000002468,all_cleared,,,2183.88396205709,635.0,120.0,60.0
route_pool,实验组_第二版路线候选池,12,90261921,True,12,1.0,261.10757518166935,3133.290902180032,1.385319900000468,all_cleared,,,2388.290902180032,580.0,105.0,60.0
previous,对照组_上一版联合路线,12,90261922,True,12,1.0,249.98099274125727,2999.771912895087,0.3870288000034634,all_cleared,,,2155.7719128950876,660.0,124.0,60.0
route_pool,实验组_第二版路线候选池,12,90261922,True,12,1.0,248.1745417207391,2978.094500648869,1.3428723999968497,all_cleared,,,2239.094500648869,575.0,104.0,60.0
previous,对照组_上一版联合路线,12,90261923,True,12,1.0,276.8726854874306,3322.472225849167,0.304226700005529,all_cleared,,,2436.4722258491674,695.0,131.0,60.0
route_pool,实验组_第二版路线候选池,12,90261923,True,12,1.0,253.42800574467927,3041.1360689361513,1.2968908000038937,all_cleared,,,2290.1360689361504,580.0,111.0,60.0
previous,对照组_上一版联合路线,12,90261924,True,12,1.0,264.7446046674944,3176.935256009933,0.39768850000109524,all_cleared,,,2269.935256009933,710.0,137.0,60.0
route_pool,实验组_第二版路线候选池,12,90261924,True,12,1.0,258.0258472154386,3096.3101665852632,1.3411722999953781,all_cleared,,,2309.3101665852632,610.0,117.0,60.0
previous,对照组_上一版联合路线,12,90261925,True,12,1.0,289.7407946695505,3476.889536034606,0.4403043000056641,all_cleared,,,2533.889536034607,740.0,143.0,60.0
route_pool,实验组_第二版路线候选池,12,90261925,True,12,1.0,286.9775658402505,3443.730790083006,1.172072000001208,all_cleared,,,2537.7307900830065,710.0,136.0,60.0
previous,对照组_上一版联合路线,12,90261926,True,12,1.0,269.2720379645022,3231.264455574026,0.42148699999961536,all_cleared,,,2344.2644555740267,700.0,127.0,60.0
route_pool,实验组_第二版路线候选池,12,90261926,True,12,1.0,269.86280657858043,3238.3536789429654,1.1183457000006456,all_cleared,,,2459.3536789429654,605.0,114.0,60.0
previous,对照组_上一版联合路线,12,90261927,True,12,1.0,250.24149007067865,3002.897880848144,0.31930479999573436,all_cleared,,,2186.8978808481443,635.0,121.0,60.0
route_pool,实验组_第二版路线候选池,12,90261927,True,12,1.0,252.46718049970625,3029.606165996475,1.3259160000015981,all_cleared,,,2308.606165996475,555.0,106.0,60.0
previous,对照组_上一版联合路线,12,90261928,True,12,1.0,277.1881466522112,3326.257759826534,0.39543219999904977,all_cleared,,,2332.257759826533,785.0,149.0,60.0
route_pool,实验组_第二版路线候选池,12,90261928,True,12,1.0,277.4070999124139,3328.8851989489667,1.4160088999997242,all_cleared,,,2423.8851989489667,710.0,135.0,60.0
previous,对照组_上一版联合路线,12,90261929,True,12,1.0,256.99356685488374,3083.922802258605,0.3766393000041717,all_cleared,,,2115.922802258605,765.0,143.0,60.0
route_pool,实验组_第二版路线候选池,12,90261929,True,12,1.0,231.21257004494132,2774.5508405392957,1.0718912000011187,all_cleared,,,2008.5508405392961,595.0,111.0,60.0
previous,对照组_上一版联合路线,12,90261930,True,12,1.0,259.4670256884563,3113.604308261476,0.3261913000023924,all_cleared,,,2263.604308261476,665.0,125.0,60.0
route_pool,实验组_第二版路线候选池,12,90261930,True,12,1.0,237.15091661053222,2845.8109993263865,1.4440216000002692,all_cleared,,,2134.8109993263874,550.0,101.0,60.0
previous,对照组_上一版联合路线,12,90261931,True,12,1.0,240.5739853724858,2886.8878244698294,0.31744759999855887,all_cleared,,,2022.88782446983,675.0,129.0,60.0
route_pool,实验组_第二版路线候选池,12,90261931,True,12,1.0,232.51492106258283,2790.179052750994,0.8145587000035448,all_cleared,,,1939.1790527509938,665.0,126.0,60.0
previous,对照组_上一版联合路线,14,90262912,True,14,1.0,234.64691544820244,3285.056816274834,0.4278028000044287,all_cleared,,,2510.0568162748345,595.0,110.0,70.0
route_pool,实验组_第二版路线候选池,14,90262912,True,14,1.0,265.17389297805465,3712.434501692765,1.4949989000015194,all_cleared,,,2850.434501692765,665.0,127.0,70.0
previous,对照组_上一版联合路线,14,90262913,True,14,1.0,232.38072666408746,3253.3301732972245,0.43454580000252463,all_cleared,,,2390.3301732972254,665.0,128.0,70.0
route_pool,实验组_第二版路线候选池,14,90262913,True,14,1.0,210.23687191788525,2943.3162068503934,1.7104891999988467,all_cleared,,,2233.3162068503943,540.0,100.0,70.0
previous,对照组_上一版联合路线,14,90262914,True,14,1.0,226.62866372280465,3172.801292119265,0.37672179999935906,all_cleared,,,2422.8012921192635,575.0,105.0,70.0
route_pool,实验组_第二版路线候选池,14,90262914,True,14,1.0,226.9466640909602,3177.253297273443,1.6672174999985145,all_cleared,,,2390.253297273444,605.0,112.0,70.0
previous,对照组_上一版联合路线,14,90262915,True,14,1.0,223.40057042995053,3127.6079860193076,0.32569209999928717,all_cleared,,,2253.607986019308,680.0,124.0,70.0
route_pool,实验组_第二版路线候选池,14,90262915,True,14,1.0,218.12116386328853,3053.6962940860394,1.2381932999996934,all_cleared,,,2349.6962940860394,535.0,99.0,70.0
previous,对照组_上一版联合路线,14,90262916,True,14,1.0,240.15829605266933,3362.2161447373705,0.6287419000000227,all_cleared,,,2405.21614473737,750.0,137.0,70.0
route_pool,实验组_第二版路线候选池,14,90262916,True,14,1.0,227.8751847489113,3190.252586484758,2.004554500002996,all_cleared,,,2495.2525864847576,530.0,95.0,70.0
previous,对照组_上一版联合路线,14,90262917,True,14,1.0,220.75884635225034,3090.6238489315047,0.5014203000027919,all_cleared,,,2262.6238489315056,635.0,123.0,70.0
route_pool,实验组_第二版路线候选池,14,90262917,True,14,1.0,218.82552325617692,3063.557325586477,1.4429715000005672,all_cleared,,,2270.5573255864774,605.0,118.0,70.0
previous,对照组_上一版联合路线,14,90262918,True,14,1.0,251.21254399179847,3516.9756158851787,0.45853590000479016,all_cleared,,,2544.9756158851787,760.0,142.0,70.0
route_pool,实验组_第二版路线候选池,14,90262918,True,14,1.0,224.42947279502155,3142.0126191303016,1.1161103999984334,all_cleared,,,2356.0126191303016,600.0,116.0,70.0
previous,对照组_上一版联合路线,14,90262919,True,14,1.0,234.25197069774325,3279.5275897684055,0.4162429999996675,all_cleared,,,2497.5275897684055,600.0,112.0,70.0
route_pool,实验组_第二版路线候选池,14,90262919,True,14,1.0,240.4423519595278,3366.1929274333893,1.4775911000033375,all_cleared,,,2591.1929274333884,595.0,110.0,70.0
previous,对照组_上一版联合路线,14,90262920,True,14,1.0,221.20165571061787,3096.8231799486502,0.5644744000019273,all_cleared,,,2307.8231799486502,605.0,114.0,70.0
route_pool,实验组_第二版路线候选池,14,90262920,True,14,1.0,217.57429013100986,3046.040061834138,1.5485371999966446,all_cleared,,,2331.0400618341387,545.0,100.0,70.0
previous,对照组_上一版联合路线,14,90262921,True,14,1.0,252.6025384770362,3536.435538678507,0.40128720000211615,all_cleared,,,2690.435538678507,655.0,121.0,70.0
route_pool,实验组_第二版路线候选池,14,90262921,True,14,1.0,250.98244569308432,3513.7542397031802,1.471068799997738,all_cleared,,,2800.75423970318,545.0,98.0,70.0
previous,对照组_上一版联合路线,14,90262922,True,14,1.0,221.2540942357502,3097.5573193005025,0.45924640000157524,all_cleared,,,2316.557319300502,600.0,111.0,70.0
route_pool,实验组_第二版路线候选池,14,90262922,True,14,1.0,218.80860445812095,3063.3204624136933,1.7446864000012283,all_cleared,,,2351.3204624136933,540.0,102.0,70.0
previous,对照组_上一版联合路线,14,90262923,True,14,1.0,251.38878185478643,3519.44294596701,0.6357523999977275,all_cleared,,,2626.4429459670096,695.0,128.0,70.0
route_pool,实验组_第二版路线候选池,14,90262923,True,14,1.0,243.7584692222227,3412.6185691111177,1.574518800000078,all_cleared,,,2609.618569111118,620.0,113.0,70.0
previous,对照组_上一版联合路线,14,90262924,True,14,1.0,233.8106862253509,3273.3496071549125,0.3946342000053846,all_cleared,,,2505.3496071549134,590.0,108.0,70.0
route_pool,实验组_第二版路线候选池,14,90262924,True,14,1.0,235.1918543239044,3292.6859605346617,1.1540345999965211,all_cleared,,,2550.6859605346617,565.0,107.0,70.0
previous,对照组_上一版联合路线,14,90262925,True,14,1.0,231.93175954276418,3247.0446335986985,0.44371890000184067,all_cleared,,,2474.044633598699,595.0,108.0,70.0
route_pool,实验组_第二版路线候选池,14,90262925,True,14,1.0,231.71011946253742,3243.941672475524,1.299653699999908,all_cleared,,,2510.9416724755242,560.0,103.0,70.0
previous,对照组_上一版联合路线,14,90262926,True,14,1.0,237.48918534461805,3324.8485948246525,0.6224841000002925,all_cleared,,,2469.848594824651,665.0,120.0,70.0
route_pool,实验组_第二版路线候选池,14,90262926,True,14,1.0,216.6807603925463,3033.530645495648,1.741066899994621,all_cleared,,,2377.5306454956476,495.0,91.0,70.0
previous,对照组_上一版联合路线,14,90262927,True,14,1.0,224.96350306363212,3149.4890428908498,0.3993047999974806,all_cleared,,,2257.4890428908498,690.0,132.0,70.0
route_pool,实验组_第二版路线候选池,14,90262927,True,14,1.0,212.877743869075,2980.28841416705,1.6330219000010402,all_cleared,,,2199.2884141670497,600.0,111.0,70.0
previous,对照组_上一版联合路线,14,90262928,True,14,1.0,247.97625587870652,3471.6675823018913,0.4553107999963686,all_cleared,,,2602.667582301892,675.0,124.0,70.0
route_pool,实验组_第二版路线候选池,14,90262928,True,14,1.0,231.73338177335063,3244.267344826909,1.4475040000033914,all_cleared,,,2488.2673448269093,580.0,106.0,70.0
previous,对照组_上一版联合路线,14,90262929,True,14,1.0,234.73078892548287,3286.2310449567603,0.3646251000027405,all_cleared,,,2420.231044956759,670.0,126.0,70.0
route_pool,实验组_第二版路线候选池,14,90262929,True,14,1.0,236.40876306686155,3309.7226829360616,1.0924394000030588,all_cleared,,,2468.7226829360607,650.0,121.0,70.0
previous,对照组_上一版联合路线,14,90262930,True,14,1.0,191.05331217446746,2674.7463704425445,0.4339680999983102,all_cleared,,,1904.7463704425452,590.0,110.0,70.0
route_pool,实验组_第二版路线候选池,14,90262930,True,14,1.0,179.46063941369604,2512.4489517917445,1.354436599998735,all_cleared,,,1861.4489517917448,490.0,91.0,70.0
previous,对照组_上一版联合路线,14,90262931,True,14,1.0,248.9453341390568,3485.2346779467953,0.4967294000016409,all_cleared,,,2513.2346779467957,760.0,142.0,70.0
route_pool,实验组_第二版路线候选池,14,90262931,True,14,1.0,223.42055894070745,3127.8878251699043,1.5208740000016405,all_cleared,,,2343.8878251699034,600.0,114.0,70.0
previous,对照组_上一版联合路线,16,90263912,True,16,1.0,206.46807784392232,3303.489245502757,0.5100977000038256,all_cleared,,,2531.4892455027575,585.0,107.0,80.0
route_pool,实验组_第二版路线候选池,16,90263912,True,16,1.0,198.62589922479566,3178.0143875967306,1.8032321999999112,all_cleared,,,2540.01438759673,470.0,88.0,80.0
previous,对照组_上一版联合路线,16,90263913,True,16,1.0,197.94102475651886,3167.0563961043017,0.4717109999983222,all_cleared,,,2335.056396104302,635.0,117.0,80.0
route_pool,实验组_第二版路线候选池,16,90263913,True,16,1.0,192.38921450511447,3078.2274320818315,1.9271822000009706,all_cleared,,,2321.227432081833,575.0,102.0,80.0
previous,对照组_上一版联合路线,16,90263914,True,16,1.0,196.76723131247985,3148.2757009996776,0.5796677999969688,all_cleared,,,2401.275700999677,565.0,102.0,80.0
route_pool,实验组_第二版路线候选池,16,90263914,True,16,1.0,194.0790682232457,3105.2650915719314,1.2087630999958492,all_cleared,,,2423.2650915719314,510.0,92.0,80.0
previous,对照组_上一版联合路线,16,90263915,True,16,1.0,207.71781144265532,3323.484983082485,0.46706560000166064,all_cleared,,,2524.4849830824846,605.0,114.0,80.0
route_pool,实验组_第二版路线候选池,16,90263915,True,16,1.0,208.21915698496758,3331.5065117594813,1.575611400003254,all_cleared,,,2676.506511759481,485.0,90.0,80.0
previous,对照组_上一版联合路线,16,90263916,True,16,1.0,205.89957343333165,3294.3931749333065,0.603225900005782,all_cleared,,,2546.393174933307,565.0,103.0,80.0
route_pool,实验组_第二版路线候选池,16,90263916,True,16,1.0,197.60403362663968,3161.664538026235,1.6858549999960815,all_cleared,,,2465.6645380262353,520.0,96.0,80.0
previous,对照组_上一版联合路线,16,90263917,True,16,1.0,193.59407724643242,3097.5052359429187,0.43061690000467934,all_cleared,,,2251.5052359429196,645.0,121.0,80.0
route_pool,实验组_第二版路线候选池,16,90263917,True,16,1.0,200.7863475871231,3212.5815613939694,1.6621005999986664,all_cleared,,,2447.58156139397,580.0,105.0,80.0
previous,对照组_上一版联合路线,16,90263918,True,16,1.0,178.6131060298801,2857.8096964780816,0.4213910999969812,all_cleared,,,2269.809696478082,430.0,78.0,80.0
route_pool,实验组_第二版路线候选池,16,90263918,True,16,1.0,198.12679007353634,3170.0286411765815,1.1680097999997088,all_cleared,,,2351.0286411765824,625.0,114.0,80.0
previous,对照组_上一版联合路线,16,90263919,True,16,1.0,174.29079022694776,2788.652643631164,0.557785299999523,all_cleared,,,2046.6526436311642,560.0,102.0,80.0
route_pool,实验组_第二版路线候选池,16,90263919,True,16,1.0,164.41656179635893,2630.664988741743,1.2969360999995843,all_cleared,,,1940.6649887417432,515.0,95.0,80.0
previous,对照组_上一版联合路线,16,90263920,True,16,1.0,213.56909940658053,3417.1055905052885,0.4302298999973573,all_cleared,,,2629.1055905052885,595.0,113.0,80.0
route_pool,实验组_第二版路线候选池,16,90263920,True,16,1.0,193.02326701864817,3088.3722722983707,1.0691794000013033,all_cleared,,,2475.3722722983707,450.0,83.0,80.0
previous,对照组_上一版联合路线,16,90263921,True,16,1.0,215.91456664083407,3454.633066253345,0.4739620000036666,all_cleared,,,2599.633066253345,655.0,120.0,80.0
route_pool,实验组_第二版路线候选池,16,90263921,True,16,1.0,207.7567279239204,3324.1076467827265,1.4592554999981076,all_cleared,,,2608.1076467827265,535.0,101.0,80.0
previous,对照组_上一版联合路线,16,90263922,True,16,1.0,230.6191971495335,3689.907154392536,0.5603363000045647,all_cleared,,,2889.907154392536,610.0,110.0,80.0
route_pool,实验组_第二版路线候选池,16,90263922,True,16,1.0,227.25625709026508,3636.1001134442413,1.5382212000040454,all_cleared,,,2944.1001134442417,520.0,92.0,80.0
previous,对照组_上一版联合路线,16,90263923,True,16,1.0,203.52289269310933,3256.3662830897492,0.5446095000006608,all_cleared,,,2473.3662830897492,595.0,108.0,80.0
route_pool,实验组_第二版路线候选池,16,90263923,True,16,1.0,202.33761725506477,3237.4018760810363,1.604398299998138,all_cleared,,,2560.401876081036,505.0,92.0,80.0
previous,对照组_上一版联合路线,16,90263924,True,16,1.0,190.45695742791338,3047.311318846614,0.5185015000024578,all_cleared,,,2323.311318846615,545.0,99.0,80.0
route_pool,实验组_第二版路线候选池,16,90263924,True,16,1.0,204.44426177335728,3271.1081883737165,1.6692006000012043,all_cleared,,,2591.1081883737165,505.0,95.0,80.0
previous,对照组_上一版联合路线,16,90263925,True,16,1.0,211.8744630704135,3389.991409126616,0.5094357999987551,all_cleared,,,2553.9914091266155,635.0,121.0,80.0
route_pool,实验组_第二版路线候选池,16,90263925,True,16,1.0,204.5614316712082,3272.982906739331,1.691788699994504,all_cleared,,,2573.9829067393316,520.0,99.0,80.0
previous,对照组_上一版联合路线,16,90263926,True,16,1.0,189.01510512401293,3024.241681984207,0.5184865999981412,all_cleared,,,2360.2416819842074,495.0,89.0,80.0
route_pool,实验组_第二版路线候选池,16,90263926,True,16,1.0,174.42896181852794,2790.863389096447,1.6324733000001288,all_cleared,,,2147.863389096447,475.0,88.0,80.0
previous,对照组_上一版联合路线,16,90263927,True,16,1.0,189.66103124506608,3034.5764999210573,0.5062726000032853,all_cleared,,,2191.5764999210573,645.0,118.0,80.0
route_pool,实验组_第二版路线候选池,16,90263927,True,16,1.0,190.5113782095562,3048.182051352899,0.9305727999962983,all_cleared,,,2352.1820513529,520.0,96.0,80.0
previous,对照组_上一版联合路线,16,90263928,True,16,1.0,184.96930893185217,2959.5089429096347,0.4550558999981149,all_cleared,,,2217.5089429096347,560.0,102.0,80.0
route_pool,实验组_第二版路线候选池,16,90263928,True,16,1.0,187.05202137557217,2992.8323420091547,0.9050626999960514,all_cleared,,,2246.8323420091538,560.0,106.0,80.0
previous,对照组_上一版联合路线,16,90263929,True,16,1.0,203.1459422630147,3250.335076208235,0.41753240000252845,all_cleared,,,2554.3350762082355,520.0,96.0,80.0
route_pool,实验组_第二版路线候选池,16,90263929,True,16,1.0,210.77319877310538,3372.371180369686,1.396602000000712,all_cleared,,,2739.371180369686,475.0,78.0,80.0
previous,对照组_上一版联合路线,16,90263930,True,16,1.0,219.75460887287713,3516.073741966034,0.7068225999973947,all_cleared,,,2797.0737419660345,540.0,99.0,80.0
route_pool,实验组_第二版路线候选池,16,90263930,True,16,1.0,203.88116232405477,3262.0985971848763,1.8083805000060238,all_cleared,,,2595.0985971848763,495.0,92.0,80.0
previous,对照组_上一版联合路线,16,90263931,True,16,1.0,246.53932559723128,3944.6292095557005,0.612369000002218,all_cleared,,,3076.6292095557005,665.0,123.0,80.0
route_pool,实验组_第二版路线候选池,16,90263931,True,16,1.0,239.80836528165966,3836.9338445065546,1.8541989000004833,all_cleared,,,3046.9338445065537,600.0,110.0,80.0
