mode,strategy,source_count,seed,all_cleared,cleared_count,clearance_ratio,per_source_s,total_time_s,program_runtime_s,termination_reason,failure,exit_failure,movement_s,measurement_s,switching_s,clearance_s
previous,对照组_上一版联合路线,10,70260912,True,10,1.0,296.5309827866459,2965.309827866459,0.31264489999739453,all_cleared,,,2133.309827866458,660.0,122.0,50.0
route_pool,实验组_第二版路线候选池,10,70260912,True,10,1.0,274.8047407987409,2748.047407987409,1.1921310000034282,all_cleared,,,1999.0474079874089,590.0,109.0,50.0
previous,对照组_上一版联合路线,10,70260913,True,10,1.0,329.1493467246473,3291.493467246473,0.21568529999785824,all_cleared,,,2444.493467246473,670.0,127.0,50.0
route_pool,实验组_第二版路线候选池,10,70260913,True,10,1.0,303.9738033351926,3039.738033351926,0.9517158000016934,all_cleared,,,2305.738033351926,575.0,109.0,50.0
previous,对照组_上一版联合路线,10,70260914,True,10,1.0,309.43747612000425,3094.3747612000425,0.42207849999977043,all_cleared,,,2190.3747612000425,720.0,134.0,50.0
route_pool,实验组_第二版路线候选池,10,70260914,True,10,1.0,293.32816699906533,2933.2816699906534,1.5280163999996148,all_cleared,,,2134.2816699906534,630.0,119.0,50.0
previous,对照组_上一版联合路线,10,70260915,True,10,1.0,320.16197498761636,3201.6197498761635,0.4145669999998063,all_cleared,,,2319.6197498761635,700.0,132.0,50.0
route_pool,实验组_第二版路线候选池,10,70260915,True,10,1.0,309.0698681533041,3090.698681533041,1.58913360000588,all_cleared,,,2275.6986815330415,645.0,120.0,50.0
previous,对照组_上一版联合路线,10,70260916,True,10,1.0,289.82864731575876,2898.286473157588,0.36923649999516783,all_cleared,,,2103.2864731575883,630.0,115.0,50.0
route_pool,实验组_第二版路线候选池,10,70260916,True,10,1.0,284.8639664347413,2848.639664347413,1.2468435000046156,all_cleared,,,2134.6396643474136,560.0,104.0,50.0
previous,对照组_上一版联合路线,10,70260917,True,10,1.0,319.2268484839436,3192.2684848394365,0.606210199999623,all_cleared,,,2260.2684848394374,745.0,137.0,50.0
route_pool,实验组_第二版路线候选池,10,70260917,True,10,1.0,283.9416241221676,2839.416241221676,1.4748608000008971,all_cleared,,,2041.4162412216763,630.0,118.0,50.0
previous,对照组_上一版联合路线,10,70260918,True,10,1.0,295.1572056284468,2951.5720562844676,0.45543600000382867,all_cleared,,,2147.5720562844685,635.0,119.0,50.0
route_pool,实验组_第二版路线候选池,10,70260918,True,10,1.0,303.1748486176408,3031.748486176408,1.4222670000017388,all_cleared,,,2284.748486176408,585.0,112.0,50.0
previous,对照组_上一版联合路线,10,70260919,True,10,1.0,292.1435638434083,2921.435638434083,0.3524452999990899,all_cleared,,,2126.4356384340836,625.0,120.0,50.0
route_pool,实验组_第二版路线候选池,10,70260919,True,10,1.0,295.1106617096308,2951.106617096308,1.2211066000018036,all_cleared,,,2258.1066170963077,540.0,103.0,50.0
previous,对照组_上一版联合路线,10,70260920,True,10,1.0,285.8531938538425,2858.5319385384255,0.39894490000006044,all_cleared,,,1933.5319385384253,735.0,140.0,50.0
route_pool,实验组_第二版路线候选池,10,70260920,True,10,1.0,272.65093177179523,2726.5093177179524,1.3077053999950294,all_cleared,,,2027.5093177179526,545.0,104.0,50.0
previous,对照组_上一版联合路线,10,70260921,True,10,1.0,314.9655693441273,3149.655693441273,0.45188609999604523,all_cleared,,,2226.655693441273,735.0,138.0,50.0
