策略及组别,源数,case_count,success_count,mean_total_time_s,mean_per_source_s,std_per_source_s,p90_per_source_s,worst_per_source_s,mean_program_runtime_s,clearance_ratio,mean_observed_total_time_s
实验组_当前策略_集中测量与联合路线,10,20,20,3099.107389214974,309.9107389214974,17.68891745383861,329.1493467246473,347.39537250242387,0.36377521499980503,1.0,3099.107389214974
实验组_当前策略_集中测量与联合路线,12,20,20,3203.308351782988,266.94236264858233,14.077862319422191,285.86842993118796,294.32011170200025,0.4216946100001223,1.0,3203.308351782988
实验组_当前策略_集中测量与联合路线,14,20,20,3343.6871439740066,238.8347959981433,21.172676236082655,264.2011651795714,278.68290731108056,0.4892497850003565,1.0,3343.6871439740066
实验组_当前策略_集中测量与联合路线,16,20,20,3410.6354831614813,213.16471769759258,14.59438197759619,230.58867431555655,251.26546482001083,0.5324291050001193,1.0,3410.6354831614813
对照组_普查后清除,10,20,20,3693.3234084460273,369.3323408446027,23.119649531505807,397.7274087612813,403.4483703960395,0.16870354500024404,1.0,3693.3234084460273
对照组_普查后清除,12,20,20,4004.109970140846,333.6758308450705,13.758119143702238,350.6643665007601,362.2691251606655,0.21047921500012307,1.0,4004.109970140846
对照组_普查后清除,14,20,20,4080.149884873271,291.4392774909479,18.096658618913867,310.64632914283663,326.101568485786,0.23578118499972334,1.0,4080.149884873271
对照组_普查后清除,16,20,20,4170.657667101127,260.66610419382044,12.427778087955247,277.2528637649275,283.2912807480327,0.2599042650001138,1.0,4170.657667101127
对照组_螺旋扫描,10,20,20,6073.8042058067695,607.380420580677,20.872153704591742,633.9975794079385,647.9590884600145,0.18865423999995984,1.0,6073.8042058067695
对照组_螺旋扫描,12,20,20,6466.362880428356,538.8635733690297,21.6322319090686,562.4120693406784,579.9476101895797,0.23479521500030387,1.0,6466.362880428356
对照组_螺旋扫描,14,20,20,6617.465474100258,472.67610529287555,17.34329936974709,502.4465048515123,508.9321333660137,0.2620326149999528,1.0,6617.465474100258
对照组_螺旋扫描,16,20,20,5439.370657590297,339.96066609939356,29.256095114367163,371.8768598743648,416.11826510475146,0.26679990000011455,1.0,5439.370657590297
对照组_随机游走,10,20,9,17627.09022123926,1762.709022123926,269.617701658758,2186.109006537555,2186.109006537555,0.2723011599999154,0.995,21029.255703454255
对照组_随机游走,12,20,11,17795.28929920213,1482.940774933511,296.3720057344507,1722.3447833594557,1887.5325191574286,0.332747394999933,0.9958333333333333,20229.479887870377
对照组_随机游走,14,20,13,16844.598686634326,1203.1856204738806,277.92751096336036,1547.4254738450059,1583.0887303171673,0.3226437699999224,1.0,18716.808772315213
对照组_随机游走,16,20,20,11220.108278384312,701.2567673990195,254.94118405187268,993.9094630215584,1233.87877792393,0.3002367099994444,1.0,11220.108278384312
对照组_上帝视角,10,20,20,1574.555569513623,157.4555569513623,22.605231311966477,181.706723352815,188.7202332094695,0.000949919999584381,1.0,1574.555569513623
对照组_上帝视角,12,20,20,1867.6051037528084,155.63375864606738,10.562961026369527,168.34059864062525,171.46539546964365,0.0012905750007121241,1.0,1867.6051037528084
对照组_上帝视角,14,20,20,1949.6745205252782,139.2624657518056,14.188853738247946,152.08026070645525,162.29705002394738,0.0019062499999563443,1.0,1949.6745205252782
对照组_上帝视角,16,20,20,2025.6992825955006,126.60620516221879,9.568456725865584,137.6174326821336,141.45760353397762,0.002373960000295483,1.0,2025.6992825955006
对照组_旧PPO辅助规划,10,20,20,6750.055545830784,675.0055545830784,22.215550137125806,701.3282681718404,708.0748555782145,0.8250956599997152,1.0,6750.055545830784
对照组_旧PPO辅助规划,12,20,20,7386.691258264038,615.5576048553364,27.755012237971734,641.9719703202524,667.1626124079702,0.8535852500004694,1.0,7386.691258264038
对照组_旧PPO辅助规划,14,20,20,8151.813339715807,582.2723814082719,28.884758434815474,617.5033924190986,628.2931334807527,0.9643626500001119,1.0,8151.813339715807
对照组_旧PPO辅助规划,16,20,20,8952.47984692386,559.5299904327412,27.13268944281151,594.0084988887832,601.7512065605833,1.0045624500000485,1.0,8952.47984692386
